GMID,Dataset,Facility Name,Address,數據集,設施名稱,地址,District,地區,Opening Hours,開放時間,Telephone,聯絡電話,Fax Number,傳真號碼,Email Address,電郵地址,Website,網頁,Scope of Services,服務範圍,Remarks,備註,Northing,Easting,Latitude,Longitude,Last Update
"GsPlOlRqBo","Post Offices","Stanley Post Office","2 Wong Ma Kok Road","郵政局","赤柱郵政局","黃麻角道2號","SOUTHERN","南區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","808836.0","840020.0","22.21818","114.21326","2020-01-06 02:59:54"
"fCzRzUHooe","Post Offices","So Uk Post Office","Shop No. 2, Free Standing Block No. 2 (Near Cherry House), So Uk Estate, Sham Shui Po","郵政局","蘇屋郵政局","深水埗蘇屋邨獨立單位2 號(近櫻桃樓)鋪位編號2","SHAM SHUI PO","深水埗區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","822448.0","834174.0","22.34111","114.15655","2019-06-29 07:28:46"
"12x4JDAfUT","Post Offices","Kam Tai Post Office","Shop No. 3, G/F, Kam Tai Shopping Centre, Kam Tai Court, Ma On Shan","郵政局","錦泰郵政局","馬鞍山錦泰苑錦泰商場地下3號","SHA TIN","沙田區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","829952.0","840903.0","22.40887","114.22189","2019-06-29 07:22:27"
"RAlzoICCLr","Post Offices","Kwong Yuen Post Office","Shop No. 4, Block 4, Kwong Yuen Shopping Centre, Kwong Yuen Estate, Sha Tin","郵政局","廣源郵政局","沙田廣源邨廣源商場第四座4號","SHA TIN","沙田區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","826829.0","840313.0","22.38067","114.21615","2019-05-31 10:41:59"
"kGjOnM66bc","Post Offices","Cheung Sha Wan Post Office","Ground Floor, China Shipbuilding Tower, 646 Cheung Sha Wan Road, Cheung Sha Wan","郵政局","長沙灣郵政局","長沙灣長沙灣道646號中國船舶大廈地下","SHAM SHUI PO","深水埗區","9:30 a.m. - 5:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Bulk Posting Acceptance & Circular Service<br>P.O. Box<br>Philately","一般郵政服務<br>大量投寄 & 通函郵寄服務<br>郵政信箱<br>集郵","N.A.","N.A.","822192.0","833731.0","22.3388","114.15225","2019-05-28 03:14:29"
"eZzLD5MOV9","Post Offices","Hennessy Road Post Office","Shop 105, 1/F, One Hennessy, 1 Hennessy Road, Wan Chai","郵政局","軒尼詩道郵政局","灣仔軒尼詩道1號 One Hennessy 1樓 105號鋪","WAN CHAI","灣仔區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Philately","一般郵政服務<br>集郵","N.A.","N.A.","815468.0","835453.0","22.27808","114.16897","2019-05-28 03:06:43"
"NMySiSrx7p","Post Offices","Wyndham Street Post Office","G/F, Hoseinee House, 69 Wyndham Street","郵政局","雲咸街郵政局","雲咸街69號賀善尼大廈地下","CENTRAL AND WESTERN","中西區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","815861.0","834005.0","22.28162","114.15492","2019-02-21 08:34:16"
"tlSt10XVHl","Post Offices","Tin Yiu Post Office","Shop L122, 1/F, Tin Yiu Plaza, Tin Yiu Estate, Tin Shui Wai","郵政局","天耀郵政局","天水圍天耀邨天耀廣場1樓L122號舖位","YUEN LONG","元朗區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br/>Philately","一般郵政服務<br/>集郵","N.A.","N.A.","834586.0","818501.0","22.45063","114.00427","2019-02-21 08:28:13"
"Ys0WT38twK","Post Offices","Ma On Shan Post Office","Unit 2, G/F, MOSTown, 18 On Luk Street, Ma On Shan","郵政局","馬鞍山郵政局","馬鞍山鞍祿街18號新港城地下2號","SHA TIN","沙田區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services<br>Bulk Posting Acceptance & Circular Service<br>P.O. Box<br>Philately","一般郵政服務<br>大量投寄 & 通函郵寄服務<br>郵政信箱<br>集郵","N.A.","N.A.","831682.0","841976.0","22.42449","114.23232","2018-08-17 05:54:23"
"LvdXVFAo6U","Post Offices","Kowloon Bay Post Office","Shop 1&3, 1/F, Tower 1,Enterprise Square One,9 Sheung Yuet Road,KOWLOON BAY,KOWLOON","郵政局","九龍灣郵政局","九龍九龍灣常悅道9號企業廣場一期1座1樓1&3號舖","KWUN TONG","觀塘區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","820336.0","839460.0","22.32203","114.20786","2018-05-02 07:55:51"
"Tw8h0U2aq2","Post Offices","Shek Lei Post Office","Shop 231, 2/F Shek Lei Shopping Centre Phase II, Kwai Chung","郵政局","石籬郵政局","葵涌石籬商場二期2樓231號鋪","KWAI TSING","葵青區","9:30 a.m. - 5:00 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午五時<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","825157.0","832383.0","22.36557","114.13915","2018-02-05 09:33:57"
"qR3wRpFR9m","Post Offices","Wo Che Post Office","Shop No. 313, 3/F, Wo Che Plaza, Wo Che Estate, Shatin","郵政局","禾輋郵政局","沙田禾輋邨禾輋廣場3樓13號舖","SHA TIN","沙田區","9:30 a.m. - 4:30 p.m. Mon to Fri<br>9:30 a.m. - 1:00 p.m. Sat","星期一至星期五上午九時三十分至下午四時三十分<br>星期六上午九時三十分至下午一時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","General Postal Services","一般郵政服務","N.A.","N.A.","827648.0","838160.0","22.38807","114.19525","2018-01-22 07:35:23"
